agent,backup_type,seed,episode,train_return,eval_return,avg_max_q,episode_length,eval_length,loss,mellowmax_omega
DQN,dqn,0,309,142.47419149140867,,22.83541223144531,1000,,0.953688496440649,
DQN,dqn,0,310,36.07702201875264,217.55459825682178,79.66832387062811,124,569.8,0.8794597931686909,
DQN,dqn,0,311,180.26075698980748,,26.86674474492669,1000,,0.8865751341879368,
DQN,dqn,0,312,121.35468253767297,,26.28572690343857,1000,,0.8819988909214735,
DQN,dqn,0,313,119.78459028559041,,20.0630561337471,1000,,0.9090715882480145,
DQN,dqn,0,314,264.3244922377332,,23.303139750195633,967,,0.8403443632938253,
DQN,dqn,0,315,27.73675483004685,,88.33567341554512,103,,0.8074905318253248,
DQN,dqn,0,316,163.65111575879564,,22.84374988126755,1000,,0.8294582074135541,
DQN,dqn,0,317,144.00491065765416,,20.310340805053713,1000,,0.8389660478234291,
DQN,dqn,0,318,146.5273425144442,,21.707243015289308,1000,,0.7860294979810715,
DQN,dqn,0,319,124.54744961131105,,21.83759734392166,1000,,0.7827043451219797,
